Region,Date,Rainfall,MaxTemp,MinTemp
Chatswood,2022-01-01,0.0,28.2,20.6
Chatswood,2022-12-01,0.0,22.5,16.5
Chatswood,2022-12-02,0.0,25.3,15.2
Chatswood,2022-12-03,0.0,24.4,15.4
Chatswood,2022-12-04,0.0,26.0,16.4
Chatswood,2022-12-05,0.0,27.9,17.4
Chatswood,2022-12-06,4.0,24.2,15.9
Chatswood,2022-12-07,0.0,25.4,18.4
Chatswood,2022-12-08,0.0,22.9,14.9
Chatswood,2022-12-09,0.0,22.1,15.2
Chatswood,2022-12-10,0.0,24.4,14.8
Chatswood,2022-12-11,0.0,28.6,20.2
Chatswood,2022-12-12,0.0,29.6,14.0
Chatswood,2022-12-13,13.0,25.7,15.0
Chatswood,2022-12-14,0.0,25.3,13.4
Chatswood,2022-12-15,0.0,24.0,12.5
Chatswood,2022-12-16,1.0,21.8,14.3
Chatswood,2022-12-17,0.0,20.6,13.4
Chatswood,2022-12-18,7.0,20.8,14.2
Chatswood,2022-12-19,3.0,21.4,13.6
Chatswood,2022-12-20,0.0,23.4,14.5
Chatswood,2022-12-21,0.0,23.5,14.8
Chatswood,2022-12-22,0.0,23.5,16.6
Chatswood,2022-12-23,0.0,28.9,18.5
Chatswood,2022-12-24,0.0,29.7,19.6
Chatswood,2022-12-25,0.0,27.4,19.3
Chatswood,2022-12-26,0.0,28.4,18.9
Chatswood,2022-12-27,0.0,28.1,19.6
Chatswood,2022-12-28,0.0,27.8,19.7
Chatswood,2022-12-29,0.0,22.8,18.8
Chatswood,2022-12-30,3.0,24.9,18.1
Chatswood,2022-12-31,0.0,25.8,20.1
Chatswood,2023-01-01,5.0,27.4,18.9
Chatswood,2023-12-01,6.0,26.6,19.8
Chatswood,2023-12-02,0.0,27.2,15.6
Chatswood,2023-12-03,24.0,26.7,18.7
Chatswood,2023-12-04,2.0,26.2,17.2
Chatswood,2023-12-05,0.0,28.5,21.4
Chatswood,2023-12-06,0.0,26.8,18.9
Chatswood,2023-12-07,0.0,26.5,20.3
Chatswood,2023-12-08,0.0,29.5,22.6
Chatswood,2023-12-09,0.0,40.0,20.3
Chatswood,2023-12-10,0.0,27.6,20.7
Chatswood,2023-12-11,0.0,29.4,21.5
Chatswood,2023-12-12,0.0,29.3,20.4
Chatswood,2023-12-13,0.0,29.2,21.9
Chatswood,2023-12-14,0.0,38.9,21.1
Chatswood,2023-12-15,0.0,28.3,19.7
Chatswood,2023-12-16,0.0,35.3,20.4
Chatswood,2023-12-17,0.0,28.5,20.3
Chatswood,2023-12-18,0.0,29.0,23.4
Chatswood,2023-12-19,0.0,33.5,18.2
Chatswood,2023-12-20,12.0,18.5,16.4
Chatswood,2023-12-21,24.0,22.0,16.2
Chatswood,2023-12-22,0.0,25.6,16.5
Chatswood,2023-12-23,0.0,25.9,19.7
Chatswood,2023-12-24,0.0,24.4,17.9
Chatswood,2023-12-25,20.0,27.9,20.4
Chatswood,2023-12-26,1.0,29.7,19.8
Chatswood,2023-12-27,2.0,26.3,17.0
Chatswood,2023-12-28,22.0,29.5,19.6
Chatswood,2023-12-29,0.0,26.6,19.2
Chatswood,2023-12-30,1.0,27.7,17.0
Chatswood,2023-12-31,5.0,21.6,18.6
Chatswood,2024-01-01,13.0,24.8,20.7
Chatswood,2024-12-01,1.0,29.0,19.0
Chatswood,2024-12-02,6.0,33.3,20.6
Chatswood,2024-12-03,0.0,30.0,21.3
Chatswood,2024-12-04,0.0,26.8,20.1
Chatswood,2024-12-05,0.0,25.8,21.9
Chatswood,2024-12-06,0.0,27.5,21.4
Chatswood,2024-12-07,10.0,29.3,21.0
Chatswood,2024-12-08,9.0,28.4,18.6
Chatswood,2024-12-09,2.0,24.8,19.9
Chatswood,2024-12-10,0.0,25.8,20.0
Chatswood,2024-12-11,0.0,26.4,17.5
Chatswood,2024-12-12,0.0,28.1,21.1
Chatswood,2024-12-13,0.0,30.3,21.0
Chatswood,2024-12-14,0.0,29.2,21.5
Chatswood,2024-12-15,0.0,28.8,22.7
Chatswood,2024-12-16,0.0,29.0,21.0
Chatswood,2024-12-17,0.0,32.1,17.3
Chatswood,2024-12-18,6.0,23.6,17.5
Chatswood,2024-12-19,0.0,25.1,17.1
Chatswood,2024-12-20,0.0,26.1,16.9
Chatswood,2024-12-21,0.0,27.2,20.5
Chatswood,2024-12-22,0.0,27.2,21.3
Chatswood,2024-12-23,0.0,29.1,16.2
Chatswood,2024-12-24,0.0,25.5,16.7
Chatswood,2024-12-25,0.0,27.4,18.5
Chatswood,2024-12-26,0.0,28.6,21.5
Chatswood,2024-12-27,1.0,37.4,19.3
Chatswood,2024-12-28,0.0,27.2,17.7
Chatswood,2024-12-29,0.0,30.2,19.6
Chatswood,2024-12-30,0.0,28.2,20.3
Chatswood,2024-12-31,0.0,30.1,21.1
Chatswood,2025-01-01,0.0,29.4,20.9
